T122201,T126008,T132801,T132802,T132803,T139901,TNSTUDM,value
11-20 years,No,Completely possible,Completely possible,Completely possible,Yes,31 or more students,252.445628577411
21 or more years,No,Completely possible,Completely possible,Completely possible,Yes,31 or more students,245.709659064526
3-5 years,No,Completely possible,Completely possible,Completely possible,No,16-18 students,240.349209181956
11-20 years,No,Completely possible,Completely possible,Completely possible,No,16-18 students,258.701738436188
3-5 years,No,Completely possible,Completely possible,Completely possible,No,19-20 students,238.997176155262
1-2 years,No,Completely possible,Completely possible,Completely possible,No,21-25 students,236.726781122757
3-5 years,No,Completely possible,Completely possible,Completely possible,No,21-25 students,235.269761308201
6-10 years,No,Completely possible,Completely possible,Completely possible,No,21-25 students,238.290369252723
11-20 years,No,Completely possible,Completely possible,Completely possible,No,21-25 students,232.717501175484
3-5 years,No,Completely possible,Completely possible,Completely possible,No,26-30 students,234.204926651123
11-20 years,No,Completely possible,Completely possible,Completely possible,No,26-30 students,238.031519281288
11-20 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,15 or fewer students,253.309603256148
21 or more years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,15 or fewer students,248.413692534588
6-10 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,16-18 students,238.895302154845
11-20 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,16-18 students,246.340074218475
11-20 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,19-20 students,234.013793879404
21 or more years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,19-20 students,252.592811798661
3-5 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,21-25 students,234.759434444838
6-10 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,21-25 students,244.370104525281
11-20 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,21-25 students,245.553056555186
21 or more years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,21-25 students,251.868543274166
3-5 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,26-30 students,227.986472041486
6-10 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,26-30 students,239.083639304553
11-20 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,26-30 students,241.476403368982
21 or more years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,26-30 students,246.45647508704
3-5 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,31 or more students,246.553819084717
6-10 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,31 or more students,215.622187478676
11-20 years,No,Completely possible,Completely possible,Completely possible,Tenure not awarded,31 or more students,246.3252137339
